Food,URL,ExtractedPrice,PricePerAmount,ExtractedProteinPer100g,ExtractedKJPer100g,ProteinPer100g,KJPer100g,CaloriesPer100g,ProteinPer100Calorie,PoundsPer (String),PoundsPer,PerAmount,PoundsPer100g,Price,MultiplesOf100g,perEach/per100g,TotalCalories,TotalProtein,RankWeighting,TimesEaten,PoundsPer1000Calorie,Checked,Available,Ignore
Appletiser 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/appletiser-750ml,ï¿½2.00,27p / 100ml,0,197kJ,0,197,47.08413002,0,27p ,0.27, 100ml,0.27,2,7.407407407,,348.7713335,0,,,5.734416244,,,
Lyle's Squeezy Golden Syrup 325g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lyles-squeezy-golden-syrup-325g,ï¿½1.50,46p / 100g,0.5g,310kcal/1319kJ,0.5,1319,315.248566,0.158605004,46p ,0.46, 100g,0.46,1.5,3.260869565,,1027.984454,1.630434783,,,1.459166035,,,
Aspall Organic Cyder Vinegar 350ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aspall-organic-cyder-vinegar-350ml,ï¿½1.70,ï¿½4.86 / ltr,0,81,0,81,19.35946463,0,ï¿½4.86 ,4.86, ltr,0.486,1.7,3.497942387,,67.71829191,0,,,25.104,,,
Aspall Classic Red Wine Vinegar 350ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aspall-red-wine-vinegar-350ml,ï¿½1.60,ï¿½4.57 / ltr,0,94,0,94,22.4665392,0,ï¿½4.57 ,4.57, ltr,0.457,1.6,3.501094092,,78.65746765,0,,,20.3413617,,,
Lucky Saint Unfiltered Alcohol Free Lager 330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lucky-saint-unfiltered-low-alcohol-lager-330ml,ï¿½1.80,ï¿½5.45 / ltr,0.6g,16Kcal,0.6,66.944,16,3.75,ï¿½5.45 ,5.45, ltr,0.545,1.8,3.302752294,,52.8440367,1.981651376,,,34.0625,,,
Aspall Raw Organic Apple Cyder Vinegar 500ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aspall-raw-cyder-vinegar--organic-500ml,ï¿½2.60,ï¿½5.20 / ltr,0,71,0,71,16.96940727,0,ï¿½5.20 ,5.2, ltr,0.52,2.6,5,,84.84703633,0,,,30.64338028,,,
Aspall Classic Apple Cyder Vinegar 350ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aspall-cider-vinegar-350ml,ï¿½1.60,ï¿½4.57 / ltr,0,88,0,88,21.03250478,0,ï¿½4.57 ,4.57, ltr,0.457,1.6,3.501094092,,73.63677822,0,,,21.72827273,,,
Aspall Classic White Wine Vinegar 350ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aspall-white-wine-vinegar-350ml,ï¿½1.60,ï¿½4.57 / ltr,0,97,0,97,23.18355641,0,ï¿½4.57 ,4.57, ltr,0.457,1.6,3.501094092,,81.16781236,0,,,19.71224742,,,
Yutaka Korean Kimchi 215g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/yutaka-korean-kimchi-215g,ï¿½2.75,ï¿½1.28 / 100g,0,55kJ/13kcal,0,55,13.14531549,0,ï¿½1.28 ,1.28, 100g,1.28,2.75,2.1484375,,28.24188874,0,,,97.37309091,,,
Emerge Zero Sugar Energy Drink 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/emerge-zero-sugar-energy-drink-250ml,50p,20p / 100ml,0,14kJ / 3kcal,0,14,3.346080306,0,20p ,0.2, 100ml,0.2,0.5,2.5,,8.365200765,0,,,59.77142857,,,
Alara Fruits & Seeds Muesli Organic 650g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/alara-fruits-seeds-muesli-organic-650g,ï¿½2.70,42p / 100g,11g,1714kJ / 407kcal,11,1714,409.6558317,2.685180863,42p ,0.42, 100g,0.42,2.7,6.428571429,,2633.501775,70.71428571,,,1.025250875,,,
Capsicana Mexican Smoked Cumin & Chipotle for Fajitas Seasoning Mix 28g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/capsicana-mexican-smoked-cumin-chipotle-for-fajitas-seasoning-mix-28g,ï¿½1.10,ï¿½3.93 / 100g,10.5g,294kcal/1235kJ,10.5,1235,295.1720841,3.557246964,ï¿½3.93 ,3.93, 100g,3.93,1.1,0.279898219,,82.6181406,2.938931298,,,13.31426721,,,
Lyle's Golden Syrup 700g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lyles-golden-syrup-700g,ï¿½2.10,30p / 100g,0.5g,310kcal/1319kJ,0.5,1319,315.248566,0.158605004,30p ,0.3, 100g,0.3,2.1,7,,2206.739962,3.5,,,0.951630023,,,
No. 1 Living Sugar Free Kombucha Ginger with Turmeric 4x250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/no1-living-ginger-kombucha-4x250ml,ï¿½3.95,40p / 100ml,0.2 g,6 Kcal,0.2,25.104,6,3.333333333,40p ,0.4, 100ml,0.4,3.95,9.875,,59.25,1.975,,,66.66666667,,,
No. 1 Living Sugar Free Kombucha Raspberry with Pomegranate 4x250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/no-1-living-sugar-free-kombucha-raspberry-with-pomegranate-4x250ml,ï¿½3.95,40p / 100ml,0.2 g,6 Kcal,0.2,25.104,6,3.333333333,40p ,0.4, 100ml,0.4,3.95,9.875,,59.25,1.975,,,66.66666667,,,
Capsicana Tasty Taco Seasoning Mix 28g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/capsicana-tasty-taco-seasoning-mix-28g,ï¿½1.10,ï¿½3.93 / 100g,9.14g,315kcal/1322kJ,9.14,1322,315.9655832,2.892720121,ï¿½3.93 ,3.93, 100g,3.93,1.1,0.279898219,,88.43820394,2.55826972,,,12.43806354,,,
Capsicana Brazilian Smoked Paprika & Spices Seasoning Mix 28g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/capsicana-brazilian-smoked-paprika-spices-seasoning-mix-28g,ï¿½1.10,ï¿½3.93 / 100g,11.2g,266kcal/1119kJ,11.2,1119,267.4474187,4.187739053,ï¿½3.93 ,3.93, 100g,3.93,1.1,0.279898219,,74.85805614,3.134860051,,,14.69447721,,,
Future Farm Plant Based Meatballs 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/future-farm-meatballs-250g,ï¿½3.90,ï¿½15.60 / kg,12 g,198 kcal = 831 kJ,12,831,198.6137667,6.041877256,ï¿½15.60 ,15.6, kg,1.56,3.9,2.5,,496.5344168,30,,,7.854440433,,,
BEAR PAWS Fruit & Veg Shapes Apple & Pumpkin Multipack x5 20g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bear-apple---pumpkin-paws-5x-20g-7957064-p,ï¿½2.50,ï¿½2.50 / 100g,3.1g,1108,3.1,1108,264.8183556,1.170613718,ï¿½2.50 ,2.5, 100g,2.5,2.5,1,,264.8183556,3.1,,,9.440433213,,,
Future Farm Plant Based Mince 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/future-farm-mince-250g,ï¿½3.80,ï¿½15.20 / kg,10 g,223 kcal = 938 kJ,10,938,224.1873805,4.460554371,ï¿½15.20 ,15.2, kg,1.52,3.8,2.5,,560.4684512,25,,,6.780042644,,,
